date;animals;grass;avg energy;avg life;avg children
356;5;420;218;142;0
357;5;421;217;142;0
358;5;422;216;142;0
359;5;423;215;142;0
360;5;424;214;142;0
361;5;425;213;142;0
362;5;426;212;142;0
363;5;427;211;142;0
364;5;428;210;142;0
365;5;429;209;142;0
366;5;430;208;142;0
367;5;431;207;142;0
368;5;432;206;142;0
369;5;433;205;142;0
370;5;434;204;142;0
371;5;435;203;142;0
372;5;436;202;142;0
373;5;437;201;142;0
374;5;438;200;142;0
375;5;439;199;142;0
376;5;440;198;142;0
377;5;441;197;142;0
378;5;442;196;142;0
379;5;443;195;142;0
380;5;444;194;142;0
381;5;445;193;142;0
382;5;446;192;142;0
383;5;447;191;142;0
384;5;448;190;142;0
385;5;449;189;142;0
386;5;450;188;142;0
387;5;451;187;142;0
388;5;452;186;142;0
389;5;453;185;142;0
390;5;454;184;142;0
391;5;455;183;142;0
392;5;455;212;142;0
393;5;456;211;142;0
394;5;457;210;142;0
395;5;458;209;142;0
396;5;459;208;142;0
397;5;460;207;142;0
398;5;461;206;142;0
399;5;462;205;142;0
400;5;463;204;142;0
401;5;464;203;142;0
402;5;465;202;142;0
403;5;466;201;142;0
404;5;467;200;142;0
405;5;468;199;142;0
406;5;469;198;142;0
407;5;470;197;142;0
408;5;471;196;142;0
409;5;472;195;142;0
410;5;473;194;142;0
411;5;474;193;142;0
412;5;475;192;142;0
413;5;476;191;142;0
414;5;477;190;142;0
415;5;478;189;142;0
416;5;479;188;142;0
417;5;480;187;142;0
418;5;481;186;142;0
419;5;482;185;142;0

avg;7.311904761904762;273.1309523809524;145.70238095238096;98.82380952380953;0.0
